OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-1.0,21.8,False,340.0,22.3
-1.0,21.8,False,350.0,22.3
-1.0,21.8,False,353.0,22.3
-0.9,21.7,False,360.0,22.3
-0.9,21.7,False,368.0,22.3
-1.0,21.7,False,370.0,22.3
-1.0,21.6,False,380.0,22.3
-1.0,21.6,False,390.0,22.3
-1.0,21.5,False,400.0,22.3
-1.0,21.5,False,410.0,22.3
-1.0,21.5,False,420.0,22.3
-1.0,21.4,False,430.0,22.3
-1.0,21.4,False,440.0,22.3
-1.0,21.4,False,450.0,22.3
-1.0,21.4,False,452.0,22.3
-1.1,21.4,False,455.0,22.3
-1.0,21.4,False,457.0,22.3
-1.1,21.4,False,460.0,22.3
-1.1,21.3,False,470.0,22.3
-1.1,21.3,False,480.0,22.3
-1.1,21.3,False,485.0,22.3
-1.2,21.3,False,490.0,22.3
-1.2,21.2,False,500.0,22.3
-1.2,21.2,False,510.0,22.3
-1.2,21.2,False,520.0,22.3
-1.2,21.2,False,530.0,22.3
-1.2,21.1,False,540.0,22.3
-1.2,21.1,False,550.0,22.3
-1.2,21.1,False,560.0,22.3
-1.2,21.1,False,570.0,22.3
-1.2,21.1,False,571.0,22.3
-1.3,21.0,False,580.0,22.3
-1.3,21.0,False,590.0,22.3
-1.3,21.0,False,600.0,22.3
-1.3,21.0,False,606.0,22.3
-1.2,21.0,False,610.0,22.3
-1.2,21.0,False,611.0,22.3
-1.3,21.0,False,616.0,22.3
-1.2,21.0,False,620.0,22.3
-1.2,21.0,False,624.0,22.3
-1.3,21.0,False,630.0,22.3
-1.3,20.9,True,0.0,20.9
-1.4,20.9,True,0.0,20.9
-1.4,20.9,True,2.0,20.9
-1.3,20.9,True,10.0,20.9
-1.3,20.8,True,13.0,20.9
-1.4,20.9,True,20.0,20.9
-1.4,20.8,True,23.0,20.9
-1.3,20.8,True,30.0,20.9
-1.3,20.8,True,33.0,20.9
-1.4,20.8,True,36.0,20.9
